"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_gamma_H","mu_gamma_H_2","p_G_D","p_G_D_2","p_H","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_H_alpha","rel_p_ICU_alpha","rho_pillar2_tests","seed_date_alpha","start_date","ta_alpha"
"london","start_date",-9.05176633106125e-05,-0.000966183393490739,0.000147186398309362,2.01748224925129e-05,0.000307717869093879,2.4465065698818e-05,-6.0872658128445e-05,6.19343587990455e-05,-8.35563070728276e-06,-7.86694821883614e-07,-2.05608256118739e-05,-5.84380574112389e-07,3.3960772874395e-05,-8.61777239555977e-05,-7.20819765517453e-06,2.80304063710941e-06,2.87284399672893e-05,-8.04779918714548e-05,7.09622758436484e-05,-2.70777834689361e-05,-2.98483305997592e-05,-0.000230721924571847,-0.00105947375241882,0.000275864314203875,-0.00488728448330147,0.000115040193232559,-0.000788960787108341,-0.000233524708751713,-0.000161864719007849,-0.000459390863311578,0.000476336000170924,2.15042144282295e-05,3.58056149033249e-05,0.000455025791086046,2.18571290087184e-06,1.20333355058383e-06,4.95005230722987e-06,5.16369846235764e-06,1.49626498088867e-05,1.13915606960817e-05,1.79407811618236e-06,-3.30583294060914e-06,3.08225398225178e-06,7.54646836388569e-06,-0.00077305512200309,0.000695009173129049,0.00110438566462694,1.35563069486688e-05,-1.20403888157313e-05,0.0202101388373383,0.305249518679909,0.000227225219028451
"london","ta_alpha",1.20959034370254e-06,-5.43142810140028e-06,7.69754983065631e-07,-4.27169737038486e-07,2.89748498220887e-07,-3.16423210617555e-07,1.42157574350894e-07,3.03084547010273e-07,-4.73639745213844e-07,-3.21555003253342e-07,-5.03725969433633e-07,-2.74816866906588e-07,-1.69988907714506e-07,-3.94467646831815e-07,8.51970788020257e-08,2.77037946907457e-08,3.47663724875672e-08,4.74189774061886e-08,1.29925270479849e-07,-2.3945152362087e-07,6.92416810761936e-07,6.2757078891203e-06,4.0263494075109e-07,2.83381714701859e-06,-5.80081403625125e-06,-4.01339205119403e-06,2.97191507693882e-06,-3.99122694589724e-06,-2.35658243498277e-07,-3.270007269456e-06,-3.44814631301737e-06,3.55869773636227e-06,-1.59451688751859e-06,-1.53233213857499e-06,-4.28561785560563e-09,-2.47757767445685e-08,3.31071644049482e-08,3.84509181398025e-08,8.96738827453088e-08,4.01103962137293e-09,3.01042003290087e-08,1.79316715447916e-08,2.40549089054856e-08,5.48943344300321e-08,-1.14648428701624e-06,2.973746830911e-07,5.86631411459879e-06,1.60828808087088e-05,2.25420090346301e-08,0.000624394107116515,0.000227225219028451,1.75827319337922e-05
"midlands","alpha_admission",1.17241672830049e-05,-4.1942283599328e-06,1.1525810072473e-07,-1.1093002773403e-06,-4.37935721196262e-07,-1.47062806131433e-07,4.10151477745961e-08,-2.58489174604068e-08,-7.59062188507466e-08,-1.56777174310622e-07,-2.14595431849189e-07,-3.12145496263471e-08,5.07782539660351e-08,1.2602384632861e-06,6.74789201929099e-08,-1.11655524678501e-07,1.84759224163685e-07,-1.85608066413385e-07,1.89342552683269e-07,-2.77005212654492e-07,1.14129843922629e-07,8.89180430935959e-07,-1.13062927058199e-06,-5.84369980005623e-06,-2.51607735295202e-05,1.25858194413206e-05,1.96930638978796e-06,5.90793385777736e-06,-2.6059486838355e-07,2.49523232987052e-06,3.60792562387953e-06,7.49284692523984e-07,2.59827139503909e-07,-9.01147106592409e-06,-2.4912131616162e-09,-2.01174286015027e-09,-4.96405198742516e-08,-3.47190346888567e-08,-8.59724274046496e-09,-1.80945152243011e-08,-2.88731186338992e-08,-2.11367434718826e-08,-1.0910689043903e-08,-1.70904234836272e-08,-1.23500420292628e-05,4.1619796062402e-05,7.97329733054593e-06,3.72944146603902e-06,-1.40949766455482e-07,-0.000185110054769373,-8.22378883687005e-05,-1.40856909986357e-06
"midlands","alpha_D",-4.1942283599328e-06,0.000591089737507774,-4.10728656437882e-06,2.1523512355297e-06,1.24428978067186e-06,-1.58712771941675e-06,-1.32307825391739e-08,-4.34590592863987e-07,4.70415927568978e-07,-1.18254531045266e-06,-7.71172887698635e-07,-7.07787018512662e-07,-7.7895076900156e-07,-5.82133205580832e-07,-8.76145855420763e-07,1.87535469920744e-07,5.08096408474324e-08,-7.30758093161928e-07,1.25941222102412e-07,-7.85052775858867e-07,1.10880076905603e-06,3.06886722053799e-05,-1.62814144452395e-06,5.61144944139365e-05,0.000226435583891597,-0.000193707657384224,-8.174116874063e-06,-4.56814033645292e-05,2.48700596506261e-06,2.48054448146857e-05,-1.39500256123617e-06,5.39871473702492e-06,-4.85684322405067e-06,-5.75924062209748e-06,3.47071739393642e-08,-2.62161377862028e-07,-2.02947707495768e-08,-9.30823269988346e-08,-1.90417323712409e-07,-1.8472844264777e-08,-1.08746608216708e-07,4.41027979781513e-08,-1.58791531727533e-08,-4.10568461158017e-07,3.63423043347168e-05,-0.00029360776444597,-1.50907025074625e-05,-3.35813275991656e-05,5.30060323441026e-07,0.0013597952608701,0.000707898739142713,1.86544267513199e-05
"midlands","alpha_death_hosp",1.1525810072473e-07,-4.10728656437882e-06,1.20538826725413e-05,-5.34864740592527e-07,1.79680207134943e-07,1.32949860718849e-07,1.5484528511041e-07,-1.63292437536019e-07,-8.07749183843103e-08,3.52216589454491e-07,-2.85113956004869e-07,-3.32837737361768e-08,-1.21123362402615e-07,1.98519408309453e-07,1.02588977612656e-07,-2.2484750814362e-08,1.04840236223737e-08,-1.34523153814696e-07,1.47829056464687e-07,-5.36357678300680e-09,-1.65216864817417e-07,2.49493022294761e-06,5.97430566439155e-06,-3.12418218823358e-06,1.17446446952957e-05,1.73896878910837e-05,-1.33505929029394e-05,4.9923231006112e-06,1.50690904999331e-07,-1.65794886112322e-06,-9.50284667296904e-06,8.30489102962225e-07,3.87895245392847e-07,1.38483120649401e-05,1.03557614808461e-08,-8.5190707768372e-09,-1.01547795241132e-08,2.55903340417099e-08,-2.39415299899049e-08,2.7150767409399e-09,-2.76069139154295e-08,7.49790735673566e-09,-2.70666100580895e-09,1.61275349957095e-08,-1.13007515608995e-05,-2.49284851942866e-06,1.62308908885533e-05,-1.47079829727823e-05,-7.33329538209256e-08,0.000215185136012625,0.000115350010524602,4.26370156708876e-06
"midlands","alpha_H",-1.1093002773403e-06,2.1523512355297e-06,-5.34864740592527e-07,7.63386786058125e-06,-9.11140951838956e-07,-3.34485274347525e-08,2.50706405560204e-08,-8.05620624275044e-08,3.34767764359274e-08,1.2821878555773e-07,-3.80629952463286e-07,-3.19633033336983e-08,-1.19173794471972e-07,3.6488955216728e-07,-2.62990454120525e-08,-8.64597890029743e-09,-3.55532519090445e-08,1.6518897858498e-07,-4.47803225057803e-09,-9.29409732384695e-09,-1.1938823734379e-07,-5.03371769464654e-07,-1.36508850742379e-06,7.89058860688658e-06,8.30973042188245e-06,-2.61890796774757e-05,1.02429323325939e-05,9.45858359169036e-07,2.02751083132773e-06,-1.72635249702006e-06,6.67694299566329e-06,1.19183998740807e-07,-6.18437987329971e-07,-1.19349389343895e-06,8.50507180430024e-10,-1.18935826838464e-09,-6.53505316162614e-09,-1.58122364517963e-09,1.58426099167868e-09,1.04536865667986e-08,-4.39951034490274e-09,5.64746127573453e-09,-1.41820361759563e-08,-1.94391894948337e-08,-7.63535608738706e-07,-1.97040771227981e-05,6.75967236726074e-06,1.0962536281384e-05,-8.45308142538677e-09,0.000260639681209043,-0.000357478302414681,4.13535717449145e-06
"midlands","beta1",-4.37935721196262e-07,1.24428978067186e-06,1.79680207134943e-07,-9.11140951838956e-07,2.09059674954453e-06,8.83398233368057e-08,3.81370757470033e-08,-4.68356231752507e-08,-8.39010753337054e-09,4.93763591608001e-08,1.26563773944309e-07,-2.1670659849539e-08,8.55708881337325e-08,-2.41217922433476e-06,8.84994135018211e-08,-5.61303531687861e-09,-2.92245685550037e-08,4.5123077023082e-08,-5.25254147222678e-08,8.97033463245801e-08,-1.22220597455817e-07,6.55143262199867e-07,2.41731116407928e-06,7.15750656273826e-06,2.12778845313757e-05,3.26522508442948e-06,-7.01660806726715e-07,-2.19349578702369e-06,1.16405813591735e-06,-3.75434308062229e-07,-2.68786408807467e-06,9.24090205170101e-07,2.33588722649611e-07,2.54854089548048e-06,-3.19552654359476e-09,7.79430333216903e-09,-1.33729675431681e-08,1.13174972619739e-08,1.34803419324157e-08,3.2379493698782e-08,4.21724994579065e-09,-9.24187909682551e-09,2.4722819060125e-09,1.72545608055038e-08,-2.20761004556738e-06,-2.24035429231597e-05,-1.05631100231581e-06,-9.74544850482007e-06,2.86312344209149e-08,-5.75738614160122e-05,0.000731316602668603,-1.10792699317715e-06
"midlands","beta10",-1.47062806131433e-07,-1.58712771941675e-06,1.32949860718849e-07,-3.34485274347525e-08,8.83398233368057e-08,3.68770159630296e-07,-3.45120092004442e-07,1.04428068686232e-07,-4.45941014688752e-08,8.03090571052546e-08,-3.66380907951881e-08,7.328900193192e-09,-1.72066634662109e-08,1.80306880058125e-09,-1.80895104717202e-08,2.05961985213849e-08,-1.56057447884196e-08,2.6881409508674e-08,-4.98025539104501e-08,2.13052070317693e-07,-3.58116724163243e-07,-2.84182417909814e-08,-8.52649462558236e-07,-1.36163800217098e-06,-3.23985447093869e-06,1.26609350770351e-07,5.77797638310559e-07,2.65401034196946e-08,-2.18503785505229e-07,-1.27015909046119e-06,1.44908149885857e-07,-1.70360724184972e-07,6.64206366179439e-08,-1.23772287825046e-06,1.10592674361096e-08,7.33360368123518e-09,4.55319669069913e-09,7.51347104226923e-09,3.31489582189922e-10,-1.22211165635081e-09,5.71772174902846e-09,6.28045758167023e-09,-4.66203377410724e-10,1.03752461402493e-08,-2.84352695693251e-07,5.83403063837105e-06,1.47793781624613e-06,-2.46912802774381e-07,1.3766936012308e-08,-1.51068627148279e-05,2.30689620432432e-05,7.56063594080207e-07
"midlands","beta11",4.10151477745961e-08,-1.32307825391739e-08,1.5484528511041e-07,2.50706405560204e-08,3.81370757470033e-08,-3.45120092004442e-07,5.81491578683316e-07,-2.64733248699139e-07,1.10335189568122e-07,-1.08847425011787e-07,7.82705872501221e-08,-9.31814815220051e-09,3.62079342542649e-08,-1.19109388188819e-07,5.77235902466515e-09,-1.51910688169433e-09,-1.63499615301167e-09,-1.61917253370272e-08,3.81372029373573e-08,-1.3963751771482e-07,3.00073665994564e-07,-1.27067541274856e-07,6.83197462979938e-07,9.41233361697867e-07,1.37317450257351e-06,2.0106177642021e-08,2.76288622961976e-07,4.78068444939605e-08,4.35311152256071e-08,2.91653266391533e-07,-5.57956571149538e-07,-1.27430618232913e-07,5.02534911508815e-08,1.43919029734986e-06,-8.42470734876337e-09,2.64407628086964e-09,2.23665346059068e-09,-2.42655979142202e-09,7.62937912025514e-09,6.23848607012961e-09,-2.04715243999814e-10,-5.32378512374041e-09,2.54767257230651e-09,-6.22437919987786e-09,1.18680948606862e-06,-3.31059359330702e-06,-7.80637735374173e-07,4.21761667012459e-07,-1.47119614549835e-08,1.51015496503543e-05,8.02252387377447e-06,-4.11062991122884e-07
"midlands","beta12",-2.58489174604068e-08,-4.34590592863987e-07,-1.63292437536019e-07,-8.05620624275044e-08,-4.68356231752507e-08,1.04428068686232e-07,-2.64733248699139e-07,2.78900935122048e-07,-1.74529543668022e-07,1.81281881816873e-07,-6.7004623169857e-08,1.85287131407059e-08,-1.40023696932041e-08,5.91170870998241e-08,-7.38341123473221e-09,6.48458769526662e-09,3.99073402297569e-09,2.84393959418804e-08,-3.61586903296238e-08,8.82813046871684e-08,-1.02014645581714e-07,4.9128430481201e-07,3.15920678183866e-07,-1.18064703801333e-06,-9.1224883245805e-09,1.35685181543447e-06,-7.58524345782064e-07,2.55966951498269e-07,-5.4702639843263e-08,-9.97499420896082e-07,2.0821467768786e-07,-1.26993507183317e-07,6.25339135279442e-08,-1.34772712557401e-06,4.74158141457294e-09,2.03326992686629e-09,7.91040831288613e-10,2.57260406857803e-09,-1.26785304591536e-09,1.20605482878968e-10,6.16776892791309e-09,3.25613566258174e-09,-5.18477187857802e-10,3.91678194472521e-09,-4.00628878101242e-08,1.74088006333842e-06,2.55842315951844e-06,1.42250893272495e-07,4.45343275627836e-09,1.05064498725357e-06,-2.71766776694442e-05,-2.49769018206509e-08
"midlands","beta13",-7.59062188507466e-08,4.70415927568978e-07,-8.07749183843103e-08,3.34767764359274e-08,-8.39010753337054e-09,-4.45941014688752e-08,1.10335189568122e-07,-1.74529543668022e-07,2.03527317942501e-07,-2.66877903127658e-07,1.35362445966068e-07,-2.02530575686633e-08,8.83165366945440e-09,-2.05549828302714e-08,1.26373594627251e-10,2.15265622333583e-09,1.68527097538708e-09,-1.0314796612516e-08,2.58763882112547e-08,-5.22097854573001e-08,5.79915328275781e-08,-4.65695756217772e-07,3.400956182982e-07,1.62793089310656e-07,2.67271290045e-06,-4.42033654433566e-07,2.93176387421627e-07,-3.63022236828467e-07,-5.77271169543427e-09,-1.78977475907372e-07,-4.82825490924258e-07,2.53974173892566e-07,-4.73567633194111e-08,1.02277281536887e-06,-6.36282818222883e-10,5.08862062702112e-10,4.54282604732993e-09,-3.97583006008815e-10,1.06001291410809e-09,1.40312751784618e-10,-2.78235513929955e-09,1.08147518936735e-09,1.60908432127605e-09,-1.93482721149048e-09,-9.18209571371045e-07,-3.42593491458679e-07,-7.51633854014673e-07,-4.15371947608685e-07,8.64358044213641e-09,3.93816515212414e-05,-6.58157805605015e-06,5.24040856303718e-07
